"URL","Tag","Text","Spacing OK","Spelling OK","Font","Font Size","Font Weight","Issue Description"
"https://peoplewoo.com/choose-your-services/","h2","Salesforce Industry Solutions","true","true","Montserrat","36px","800","No issues"
"https://peoplewoo.com/choose-your-services/","h2","Discover Our Services","true","true","Montserrat","38px","800","No issues"
"https://peoplewoo.com/choose-your-services/","h2","Salesforce Industry Solution Services","true","true","Montserrat","32px","800","No issues"
"https://peoplewoo.com/choose-your-services/","h2","Tech Hiring Services","true","true","Montserrat","36px","800","No issues"
"https://peoplewoo.com/choose-your-services/","h2","Why Choose Us","true","true","Montserrat","32px","800","No issues"
"https://peoplewoo.com/choose-your-services/","h2","Prepaid Salesforce Support Packages","true","true","Montserrat","36px","700","No issues"
"https://peoplewoo.com/choose-your-services/","h2","Our Success Stories","true","true","Heebo, sans-serif","56px","300","Wrong font for heading"
"https://peoplewoo.com/choose-your-services/","h2","One of our account managers will contact you shortly.","true","true","Montserrat","32px","700","No issues"
"https://peoplewoo.com/choose-your-services/","h2","Get in Touch","true","true","Montserrat","32px","200","No issues"
"https://peoplewoo.com/choose-your-services/","h3","Our Salesforce Services","true","true","Montserrat","28px","700","No issues"
"https://peoplewoo.com/choose-your-services/","h3","How We Handpick Exceptional Talent for Your Next Hire","true","true","Montserrat","30px","700","No issues"
"https://peoplewoo.com/choose-your-services/","h3","About","true","true","Montserrat","18px","700","No issues"
"https://peoplewoo.com/choose-your-services/","h3","Contact","true","true","Montserrat","18px","700","No issues"
"https://peoplewoo.com/choose-your-services/","h3","Page","true","true","Montserrat","18px","700","No issues"
"https://peoplewoo.com/choose-your-services/","h3","Read More","true","true","Montserrat","18px","700","No issues"
"https://peoplewoo.com/choose-your-services/","p","Discover Salesforce Industry Solutions, tailored to meet the unique needs of your business sector. Elevate your operations with specialized tools and features designed for industries such as healthcare, financial services, retail, and more. Streamline processes, enhance customer engagement, and drive growth with the power of Salesforce's industry-specific solutions. Elevate your business to new heights today.","true","true","""Segoe UI"", sans-serif","16px","400","Wrong paragraph font size"
"https://peoplewoo.com/choose-your-services/","p","Leverage our end-to-end Salesforce solutions for complete industry transformation and tap into our specialized tech hiring services for unmatched talent acquisition.","true","true","""Segoe UI"", sans-serif","16px","400","Wrong paragraph font size"
"https://peoplewoo.com/choose-your-services/","p","Tailored, comprehensive Salesforce services that drive digital transformation across all industries.","true","true","""Segoe UI"", sans-serif","14px","400","No issues"
"https://peoplewoo.com/choose-your-services/","p","Expert recruitment that connects you with top technology professionals across various sectors.","true","true","""Segoe UI"", sans-serif","14px","400","No issues"
"https://peoplewoo.com/choose-your-services/","p","At CloudVandana, we specialize in Salesforce services designed to optimize your business processes. From implementation and development to managed services and marketing cloud solutions, we offer comprehensive support tailored to your needs. Our offerings also include Staff Augmentation and US Staffing solutions, ensuring you have the skilled professionals you need to succeed.","true","false","""Segoe UI"", sans-serif","15px","400","Spelling mistake; Wrong paragraph font size"
"https://peoplewoo.com/choose-your-services/","p","Expert guidance to optimize your Salesforce strategy and maximize ROI.","true","true","""Segoe UI"", sans-serif","14px","400","No issues"
"https://peoplewoo.com/choose-your-services/","p","Custom development to tailor Salesforce to your business needs.","true","true","""Segoe UI"", sans-serif","14px","400","No issues"
"https://peoplewoo.com/choose-your-services/","p","Seamless integration with third-party systems for enhanced efficiency.","true","true","""Segoe UI"", sans-serif","14px","400","No issues"
"https://peoplewoo.com/choose-your-services/","p","End-to-end implementation to streamline operations & productivity.","true","true","""Segoe UI"", sans-serif","14px","400","No issues"
"https://peoplewoo.com/choose-your-services/","p","Secure and accurate data migration with minimal downtime.","true","true","""Segoe UI"", sans-serif","14px","400","No issues"
